"Statistic","Year","County","UNIT","All persons engaged size classes","Under 10","10 - 19","20 - 49","50 - 249","250 and over"
"Active Enterprises","2016","Carlow","Number","2661","2423","","73","35",""
"Active Enterprises","2016","Dublin","Number","79821","72292","3558","2288","1340","343"
"Active Enterprises","2016","Kildare","Number","10397","9630","421","212","117","17"
"Active Enterprises","2016","Kilkenny","Number","4235","3914","183","97","38","3"
"Active Enterprises","2016","Laois","Number","2978","2782","","59","23",""
"Active Enterprises","2016","Longford","Number","1913","1781","","40","19",""
"Active Enterprises","2016","Louth","Number","6223","5689","290","168","68","8"
"Active Enterprises","2016","Meath","Number","9552","8862","388","215","74","13"
"Active Enterprises","2016","Offaly","Number","3152","2919","132","73","25","3"
"Active Enterprises","2016","Westmeath","Number","4435","4105","191","99","34","6"
"Active Enterprises","2016","Wexford","Number","7461","6871","351","166","59","14"
"Active Enterprises","2016","Wicklow","Number","7661","7174","295","140","45","7"
"Active Enterprises","2016","Clare","Number","6610","6178","234","123","61","14"
"Active Enterprises","2016","Cork","Number","27757","25554","1186","650","317","50"
"Active Enterprises","2016","Kerry","Number","8038","7427","360","168","75","8"
"Active Enterprises","2016","Limerick","Number","9032","8247","405","262","103","15"
"Active Enterprises","2016","Tipperary","Number","7424","6878","323","167","46","10"
"Active Enterprises","2016","Waterford","Number","4974","4508","265","137","46","18"
"Active Enterprises","2016","Galway","Number","13670","12640","543","301","165","21"
"Active Enterprises","2016","Leitrim","Number","1826","1723","","30","12",""
"Active Enterprises","2016","Mayo","Number","6890","6388","283","156","56","7"
"Active Enterprises","2016","Roscommon","Number","2979","2818","87","46","28","0"
"Active Enterprises","2016","Sligo","Number","3146","2927","109","78","28","4"
"Active Enterprises","2016","Cavan","Number","3772","3484","160","77","46","5"
"Active Enterprises","2016","Donegal","Number","7616","6962","375","198","77","4"
"Active Enterprises","2016","Monaghan","Number","3005","2718","161","81","41","4"
"Persons Engaged","2016","Carlow","Number","12620","4635","","2145","3284",""
"Persons Engaged","2016","Dublin","Number","688797","114706","47869","69265","133238","323719"
"Persons Engaged","2016","Kildare","Number","52597","16497","5694","6290","10876","13240"
"Persons Engaged","2016","Kilkenny","Number","18622","7196","2453","2971","3728","2274"
"Persons Engaged","2016","Laois","Number","11045","5274","","1890","1817",""
"Persons Engaged","2016","Longford","Number","7527","3202","","1196","1592",""
"Persons Engaged","2016","Louth","Number","28745","10477","3808","4785","6554","3121"
"Persons Engaged","2016","Meath","Number","39240","15236","5173","6308","6919","5604"
"Persons Engaged","2016","Offaly","Number","13346","5351","1768","2076","2447","1704"
"Persons Engaged","2016","Westmeath","Number","18546","7204","2533","3005","3710","2094"
"Persons Engaged","2016","Wexford","Number","33783","12615","4648","4987","5627","5906"
"Persons Engaged","2016","Wicklow","Number","28685","12289","3916","4333","4284","3863"
"Persons Engaged","2016","Clare","Number","28672","10029","3107","3724","6288","5524"
"Persons Engaged","2016","Cork","Number","149995","45283","15890","19001","30889","38932"
"Persons Engaged","2016","Kerry","Number","35022","13226","4744","4874","7449","4729"
"Persons Engaged","2016","Limerick","Number","47344","15034","5380","7627","8916","10387"
"Persons Engaged","2016","Tipperary","Number","31856","12933","4233","4816","4328","5546"
"Persons Engaged","2016","Waterford","Number","29608","8691","3532","3999","4578","8808"
"Persons Engaged","2016","Galway","Number","65134","21034","7395","8871","15468","12366"
"Persons Engaged","2016","Leitrim","Number","6335","2880","","938","1344",""
"Persons Engaged","2016","Mayo","Number","29064","11009","3774","4632","4845","4804"
"Persons Engaged","2016","Roscommon","Number","10261","4739","1198","1417","2907","0"
"Persons Engaged","2016","Sligo","Number","15414","5099","1508","2376","2635","3796"
"Persons Engaged","2016","Cavan","Number","16753","6260","2118","2295","3942","2138"
"Persons Engaged","2016","Donegal","Number","32536","12683","4972","5581","7062","2238"
"Persons Engaged","2016","Monaghan","Number","15911","5395","2154","2518","3796","2048"
